id,label,text
1594719276157763586,0,Ya Allah gue stres capek lelah menghadapi tugas akhir iniiii😭 kangen nobar bareng @theorlandoboy 😔😔😔😔
1594714011647741952,2,@yusuf_dumdum Pendengki Pak Anies terlihat makin stres lihat Pak Anies makin dicintai rakyat Indonesia
1594703827076546560,0,"maaf y gwe lg rada stres, tugas dgp sm bindo bloman sm skli soalnya"
1594703041122701312,0,@tanyakanrl stres banyak tugas 😮‍💨
1594694347144003596,0,@yailahwaz masi panas sntai dlu anget sruput dkit nikmat pln pln smbil mikirin tugas stres tau tau abis udh dingin
1594693757613789187,0,"maaf ya kalo lewat, lagi stres tugas, butuh penyegaran otak ini 😔 https://t.co/rBlhr3GXsJ"
1594678937665253377,0,bgst tugas udh bikin stres anj
1594676599097466880,0,"smt 5 bnr2 stres bgt bnyk tekanan, bnyk tugas, tiap minggu ditanyain progres proposal, progres aplikasi, praktikum, blm lpj an juga hadehhh bntr lg gila"
1594665541800644610,0,"Tugas Bimbingan Konseling di suru nulis permasalahan hidup yg bikin stres, ttp aja ngang ngong ngang ngong pdhl masalah gw segudang"
1594659392221196290,0,"nct dream the movie ayo cepetan tayang, gue mau refreshing dari tugas yg bikin stres"
1594657771495903232,0,"capek, tapi bakal kangen masa2 stres cuma karna tugas, bukan karna hal lain."
1594657055146737665,3,KULIAH BUKAN STRES TUGAS NYA TP STRES TEMEN KELAS KEK KONTOL
1594643151817699329,1,"Selamat! Anda sukses buat saya stres, mood amburadul, tugas mangkrak

Tinggal depresinya aja yg belum."
1594633050926653440,0,stres bgt ma 1 tugas doang🥲 ini gue keknya lebih pilih bikin proposal penelitian daripada sama tugas matkul ini. 🥲
1594628987955089408,0,"Sch! Haduh.. ngerjain to untuk yg ketiga kali mungkin, hasilnya malah tambah turun.. bahkan ada yang enggak tembus 10 soal benar. 😭 
Tapi emang lagi stres bgt sih, karena banyak tugas dan biaya menjelang study tour dll. 😔"
1594626646782402560,0,@jihanicorn Ngerjain tugas makjiiiii stres haha
1594612068061450241,0,"capek ngerjain tugas, coba main solo, malah tambah stres ajg"
1594607800130605056,0,"Gimana ga sakit, setiap hari stres mikirin tugas, udh jarang makan,terus terusan begadang dan harus ngurusin si tua yang banyak stresnya, bukan tanggung jawab aku buat ngurus, tapi kalo ga diurus nanti dibilang gatau diri
aduhhh help, pengen tenangg😭"
1594602182405406722,4,"Gua mandi sekali sehari biasanya. Tapi kalo lg stress, gua bakal kesampingin semua kerjaan dan tugas, gua luluran, hair mask, pokoknya semua urutan perawatan lengkap. Abis itu stres berkurang, lanjut kerja atau nugas lg. https://t.co/5eSjlYHgHA"
1594595295564034048,0,"stres magang, stres tugas d kuliahan, stres menghadapi skripsi, stres capek sm kerjaan"
1594580834987581442,0,"setelah ngalamin beberapa kali nt rasanya tu sakit di awal sih, tp abis itu kek yauda biasa aja. soalnya msh banyak yg perlu dipikirin selain cinta cintaan. alias tugas kuliahku lebih bikin stres, kerjaanku, dll https://t.co/K12ZFjn755"
1594574979563421696,0,Kenapa ya dosen muda perfeksionis kalau ngasih tugas tuh suka bikin stres (real)
1594565196776775680,0,@tanyakanrl iya tugas keluar trs ngeroom sampe jam 12malem👍🏿 alias gawajar jd aing cemburu tp putus ajelah anjing ngapain tugas berdua doang apalagi sering anjir stres
1594564437582962689,3,"RT @zonaminsung: 🧡 haloo, aku lagi cari au yang minho jadi gig*lo secara terpaksa karna masalah keuangan, terus ji nya sempet sewa minho pa…"
1594543156233900033,3,"RT @zonaminsung: 🧡 haloo, aku lagi cari au yang minho jadi gig*lo secara terpaksa karna masalah keuangan, terus ji nya sempet sewa minho pa…"
1594531022385082368,0,RT @ilucupisan: @postivt remaja stres yang sedang di mabuk ulangan
1594526114419834880,0,🌙 stres liat persentase turnitin? joki tugas di aku sini! dijamin trusted dengan hasil yang memuaskan! 💯
1594519935405150208,3,"RT @zonaminsung: 🧡 haloo, aku lagi cari au yang minho jadi gig*lo secara terpaksa karna masalah keuangan, terus ji nya sempet sewa minho pa…"
1594518119694811137,3,"Hai Sahabat Ad Familia!

Kami sedang mengadakan program Layanan Konseling Online (Free) dengan tema Kecemasan, Stres, dan Masalah Adaptasi.
Daftar: https://t.co/wvsuNrWyvj

Informasi: WA (chat only): 08118122938 &amp; https://t.co/GM1TMyYo66

#konseling #cemas  #sehatmental https://t.co/7onzzrISiU"
1594517215352885248,3,"Hai Sahabat Ad Familia!

Kami sedang mengadakan program Layanan Konseling Online (Free) dengan tema Kecemasan, Stres, dan Masalah Adaptasi.
Daftar: https://t.co/FKqVW5eYpV

Informasi: WA (chat only): 08118122938 &amp; https://t.co/3B5sCpaYoR

#konseling #CEMAS #stres  #sehatmental https://t.co/FvJ3qRUysI"
1594509640246923266,0,"Kok akhir"" ini suka ngomong ngelantur ya apa efek kebanyakan tugas ya, strong bgt ini alias STRes tak tertOloNG"
1594503722109108226,0,@postivt remaja stres yang sedang di mabuk ulangan
1594500676733702144,3,"RT @zonaminsung: 🧡 haloo, aku lagi cari au yang minho jadi gig*lo secara terpaksa karna masalah keuangan, terus ji nya sempet sewa minho pa…"
1594498333044637696,3,"🧡 haloo, aku lagi cari au yang minho jadi gig*lo secara terpaksa karna masalah keuangan, terus ji nya sempet sewa minho pas lagi stres stresnya sama tugas kuliahnya. Seingetku cuman itu doang, ada yang tau gaa aunya??"
1594456541934936065,3,"RT @masih_kuat_kok: Diam di ""gapapa"" in aja, bergerak stres semua.

#motivasi #semangat #berjuang #untuk #masadepan #Twitter #quotes #quote…"
1594444725599117312,3,"Diam di ""gapapa"" in aja, bergerak stres semua.

#motivasi #semangat #berjuang #untuk #masadepan #Twitter #quotes #quote #caption #Indonesia #Trending #BTS #BTSV #BTSJIN #V #JUNGKOOK #JIMIN #JIN #NYFWdahyun #LISA #galaubrutal #SadGuel #sadparah #MINGYU #JUNGKOOK #JIMIN #JIN"
1594439973658570752,0,"@satriajendral 8/10 dehh soalnya lagi seneng karna kemarin habis camp sama keluarga crus dan baru baru balik ke rumah sebenarnya crush ku itu kakak temen ku makanya bisa bereng🙂
Cuma agak stres ngerjain tugas numpuk karna dari kemarin camp jadi gk bisa ngerjain tugas 😭💔"
1594369437452623872,2,@DoankWarto Pendengki Pak Anies semakin stres lihat Pak Anies makin dicintai rakyat indonesia
1594360298466856961,0,"Nemu foto lama banget. Jaman masih kurus dan dekil parah.

2014, waktu masih aktif di Forum Remaja Palang Merah Indonesia (FORPIS), hadir di event Hari Relawan Nasional di PMI DKI.

Foto bareng @Mongol_Stres sehabis dihibur nyampe sakit perut. https://t.co/ym7IKksEv6"
1594353218212941824,3,"Stres karna tugas ❌
Stres karna Jungkook ✅"
1594352964478840832,0,ajg sumpah ini drtd kek orgil klo ada yg tiba tiba masuk kamar malu bgt stres bgt gatau pusing mana belom nulis cerpen sm sekali ygdikumpul selasa masih banyak tugas yg gk dikerjain belom jg remed mtk ada 2 takut
1594349754695442433,0,diriku ketika sedang stres dengan tugas : https://t.co/vdjR46GfAt
1594347220681527297,0,lagi stres ama tugas pas buka twt liatt doyoung full black bikin full senyum wkwkk
1594336031461232640,3,"Knp keluarga selalu ngira aku gak serius dalam kuliah?? Pdhl ku suka belajar, tugas selalu kerjain gapernah bolos, perihal maen seminggu sekali selalu jadi masalah😔 kan niatnya refreshing dari stres ny kuliah😔"
1594330820948656128,0,"Sekolah offline kirain stres gara"" tugas berkurang, TERNYATA NAMBAH"
1594330220794085376,0,"@renjunculture @bulukakimarkli INI TUH TUGAS KULIAH GUE, JADI ADA NGGAK YANG MAU JAWAB BENER² ,HAH?! ADA NGGAK YANG BISA JAWAB MAKE NALAR?! GUE TANYa ueueueuue stres banget gue anjing😭😭😭 https://t.co/kAqzokT894"
1594325515565162500,3,@Julian303 @Syarman59 🤣🤣🤣🤣🤣🤣 cebong itu rata2 seluruh indonesia tolol goblok bodoh bego stres idiot miskin dekil kudisan kurap panuan 😃
1594306756871847937,0,@helgalhakim no what what cuman lagi dibikin stres sama tugas
1594300602489909250,0,@alkyutie mau nangis ajaa😭 makin banyak tugas kerkom bkin stres
